sales_price,property_class,month,day,neighborhood
350000,Dwelling,12,31,Pleasant Valley
226000,Dwelling,12,31,Pleasant Valley
305000,Dwelling,12,31,Peaceful Glen
362500,Dwelling,12,31,Pleasant Valley
190000,Dwelling,12,31,Pleasant Valley
230000,Dwelling,12,31,Quiet Hill
377500,Dwelling,12,28,Pleasant Valley
327500,Dwelling,12,28,Pleasant Valley
280000,Dwelling,12,28,Pleasant Valley
260000,Dwelling,12,28,Pleasant Valley
600000,Dwelling,12,28,Serene Creek
320544,Commercial,12,28,Pleasant Valley
350000,Dwelling,12,28,Serene Creek
450000,Dwelling,12,27,Pleasant Valley
358500,Dwelling,12,27,Pleasant Valley
182500,Dwelling,12,27,Serene Creek
347000,Dwelling,12,27,Peaceful Glen
340000,Dwelling,12,27,Pleasant Valley
462500,Dwelling,12,26,Quiet Hill
207000,Dwelling,12,26,Pleasant Valley
380000,Dwelling,12,26,Pleasant Valley
413000,Dwelling,12,26,Peaceful Glen
8000,Mobile Home,12,26,Pleasant Valley
315000,Dwelling,12,24,Serene Creek
293000,Dwelling,12,24,Serene Creek
349000,Dwelling,12,21,Peaceful Glen
479900,Dwelling,12,21,Serene Creek
389990,Dwelling,12,21,Quiet Hill
8000,Mobile Home,12,21,Pleasant Valley
215000,Dwelling,12,20,Pleasant Valley
400000,Dwelling,12,20,Peaceful Glen
125000,Dwelling,12,20,Pleasant Valley
330000,Dwelling,12,20,Quiet Hill
302700,Dwelling,12,20,Pleasant Valley
5000,Mobile Home,12,20,Pleasant Valley
550000,Commercial,12,19,Pleasant Valley
345000,Dwelling,12,17,Peaceful Glen
345000,Dwelling,12,17,Peaceful Glen
565000,Dwelling,12,17,Serene Creek
265000,Dwelling,12,17,Peaceful Glen
189015,Commercial,12,14,Quiet Hill
208200,Dwelling,12,14,Serene Creek
293000,Dwelling,12,14,Peaceful Glen
950000,Dwelling,12,14,Pleasant Valley
289000,Dwelling,12,14,Pleasant Valley
365000,Dwelling,12,14,Serene Creek
500000,Dwelling,12,14,Pleasant Valley
286900,Dwelling,12,14,Peaceful Glen
60000,Mobile Home,12,14,Quiet Hill
43000,Mobile Home,12,14,Peaceful Glen
399500,Dwelling,12,13,Serene Creek
676000,Dwelling,12,13,Pleasant Valley
550000,Dwelling,12,13,Pleasant Valley
561400,Dwelling,12,13,Pleasant Valley
271500,Dwelling,12,13,Pleasant Valley
390000,Dwelling,12,13,Peaceful Glen
528609,Dwelling,12,12,Pleasant Valley
369000,Dwelling,12,12,Pleasant Valley
265000,Mobile Home,12,12,Peaceful Glen
375000,Dwelling,12,12,Serene Creek
198000,Dwelling,12,11,Pleasant Valley
379900,Dwelling,12,11,Peaceful Glen
439000,Dwelling,12,10,Peaceful Glen
485000,Dwelling,12,10,Pleasant Valley
5200000,Commercial,12,10,Pleasant Valley
239900,Mobile Home,12,10,Quiet Hill
363000,Dwelling,12,10,Peaceful Glen
31000,Mobile Home,12,10,Quiet Hill
578800,Dwelling,12,7,Pleasant Valley
528000,Dwelling,12,7,Serene Creek
275000,Dwelling,12,7,Quiet Hill
415000,Dwelling,12,7,Pleasant Valley
526000,Dwelling,12,7,Pleasant Valley
439500,Dwelling,12,7,Pleasant Valley
259000,Dwelling,12,7,Pleasant Valley
305000,Dwelling,12,7,Pleasant Valley
310000,Dwelling,12,6,Pleasant Valley
34000,Mobile Home,12,6,Pleasant Valley
285000,Dwelling,12,5,Peaceful Glen
171000,Dwelling,12,4,Pleasant Valley
55000,Mobile Home,12,4,Pleasant Valley
342000,Dwelling,12,3,Quiet Hill
399000,Dwelling,12,3,Serene Creek
249900,Dwelling,11,30,Pleasant Valley
410000,Dwelling,11,30,Serene Creek
302500,Dwelling,11,30,Pleasant Valley
380000,Dwelling,11,30,Pleasant Valley
565000,Dwelling,11,30,Pleasant Valley
240000,Dwelling,11,30,Pleasant Valley
290000,Mobile Home,11,30,Peaceful Glen
337603,Dwelling,11,30,Serene Creek
607000,Dwelling,11,30,Pleasant Valley
365000,Dwelling,11,30,Pleasant Valley
290000,Mobile Home,11,30,Peaceful Glen
657000,Dwelling,11,29,Pleasant Valley
492000,Dwelling,11,29,Serene Creek
558000,Dwelling,11,28,Pleasant Valley
420000,Dwelling,11,28,Quiet Hill
410000,Dwelling,11,28,Peaceful Glen
292500,Dwelling,11,26,Pleasant Valley
357500,Dwelling,11,26,Pleasant Valley
430000,Dwelling,11,26,Pleasant Valley
291000,Dwelling,11,21,Serene Creek
275000,Dwelling,11,21,Serene Creek
238500,Dwelling,11,21,Pleasant Valley
260000,Dwelling,11,21,Pleasant Valley
79900,Dwelling,11,21,Quiet Hill
369000,Dwelling,11,21,Pleasant Valley
240000,Dwelling,11,21,Serene Creek
425000,Dwelling,11,21,Pleasant Valley
330000,Dwelling,11,21,Pleasant Valley
178000,Dwelling,11,21,Pleasant Valley
515000,Dwelling,11,20,Pleasant Valley
525500,Dwelling,11,20,Pleasant Valley
325000,Dwelling,11,20,Pleasant Valley
411035,Dwelling,11,20,Serene Creek
320000,Dwelling,11,19,Peaceful Glen
175000,Dwelling,11,19,Quiet Hill
302000,Dwelling,11,19,Pleasant Valley
365000,Dwelling,11,19,Pleasant Valley
364900,Dwelling,11,19,Peaceful Glen
384500,Dwelling,11,16,Pleasant Valley
316000,Dwelling,11,16,Pleasant Valley
420000,Dwelling,11,16,Peaceful Glen
359000,Dwelling,11,16,Quiet Hill
365000,Dwelling,11,15,Serene Creek
306000,Dwelling,11,15,Pleasant Valley
400000,Dwelling,11,15,Pleasant Valley
280000,Dwelling,11,15,Pleasant Valley
310000,Dwelling,11,15,Pleasant Valley
395000,Dwelling,11,15,Pleasant Valley
275000,Dwelling,11,15,Pleasant Valley
350000,Dwelling,11,15,Pleasant Valley
265000,Dwelling,11,14,Quiet Hill
169500,Dwelling,11,14,Quiet Hill
526015,Dwelling,11,14,Pleasant Valley
440000,Dwelling,11,13,Pleasant Valley
247750,Dwelling,11,13,Serene Creek
359000,Dwelling,11,13,Serene Creek
525000,Dwelling,11,13,Pleasant Valley
498000,Commercial,11,13,Serene Creek
498000,Commercial,11,13,Serene Creek
9500,Mobile Home,11,13,Serene Creek
277689,Dwelling,11,13,Peaceful Glen
359900,Dwelling,11,9,Pleasant Valley
765000,Dwelling,11,9,Peaceful Glen
355000,Dwelling,11,9,Quiet Hill
227500,Dwelling,11,8,Pleasant Valley
415000,Dwelling,11,8,Peaceful Glen
75000,Commercial,11,8,Serene Creek
340000,Dwelling,11,8,Pleasant Valley
324000,Dwelling,11,8,Quiet Hill
525000,Dwelling,11,7,Peaceful Glen
325000,Dwelling,11,6,Pleasant Valley
400000,Dwelling,11,6,Pleasant Valley
309500,Dwelling,11,6,Serene Creek
330000,Dwelling,11,6,Serene Creek
264900,Dwelling,11,6,Peaceful Glen
295000,Dwelling,11,6,Pleasant Valley
297079,Dwelling,11,5,Peaceful Glen
278000,Dwelling,11,5,Quiet Hill
298000,Dwelling,11,5,Peaceful Glen
334000,Dwelling,11,5,Serene Creek
325000,Dwelling,11,5,Pleasant Valley
39000,Mobile Home,11,4,Quiet Hill
543000,Dwelling,11,2,Pleasant Valley
59500,Mobile Home,11,2,Pleasant Valley
557000,Dwelling,11,1,Peaceful Glen
383000,Dwelling,11,1,Pleasant Valley
535500,Dwelling,11,1,Pleasant Valley
8800,Mobile Home,11,1,Serene Creek
12000,Mobile Home,11,1,Serene Creek
135000,Dwelling,10,31,Quiet Hill
349900,Dwelling,10,31,Pleasant Valley
434500,Dwelling,10,31,Pleasant Valley
444000,Dwelling,10,31,Pleasant Valley
270000,Dwelling,10,31,Pleasant Valley
525000,Dwelling,10,31,Pleasant Valley
265000,Dwelling,10,31,Serene Creek
250000,Dwelling,10,31,Pleasant Valley
477500,Dwelling,10,31,Peaceful Glen
405000,Dwelling,10,31,Serene Creek
200000,Dwelling,10,31,Peaceful Glen
487000,Dwelling,10,31,Quiet Hill
260000,Dwelling,10,31,Serene Creek
259000,Dwelling,10,31,Pleasant Valley
342000,Dwelling,10,31,Pleasant Valley
176220,Dwelling,10,30,Pleasant Valley
360000,Dwelling,10,30,Peaceful Glen
335000,Dwelling,10,30,Pleasant Valley
315000,Dwelling,10,30,Peaceful Glen
309500,Dwelling,10,30,Quiet Hill
390000,Commercial,10,29,Pleasant Valley
200000,Dwelling,10,29,Pleasant Valley
281000,Dwelling,10,29,Pleasant Valley
274500,Dwelling,10,29,Peaceful Glen
178900,Dwelling,10,29,Pleasant Valley
417900,Dwelling,10,29,Quiet Hill
237500,Dwelling,10,29,Peaceful Glen
225000,Dwelling,10,29,Peaceful Glen
326901,Dwelling,10,26,Pleasant Valley
250000,Dwelling,10,26,Serene Creek
377000,Dwelling,10,26,Peaceful Glen
