battle_participant_id	battle_id	UserName	HeroName
1	1	goldenpanda238	Crareek
2	1	saddog275	Tan
3	1	angrypeacock368	Huzzt
4	1	yellowladybug224	Pamble
5	1	whitebird874	Grimm
6	2	reddog184	Jarboyd
7	2	organicleopard173	Cyne
8	2	goldenbutterfly544	Wendner
9	2	beautifulrabbit672	Morbid
10	2	organicfrog423	Crareek
11	3	beautifulfish857	Grrdy
12	3	brownbutterfly255	Crareek
13	3	crazyduck274	Nirty
14	3	ticklishgorilla977	Hillstomp
15	3	greenpeacock149	Frost
16	4	greenrabbit428	Massive
17	4	tinyfrog679	Greez
18	4	whitesnake294	Mulberry
19	4	browntiger495	Jarboyd
20	4	bluegoose997	Drogfisher
21	4	purplecat169	Crareek
22	4	organiczebra344	Mako
23	4	orangebear794	Grrdy
24	4	ticklishostrich231	Jade
25	4	smallbear966	Hillstomp
26	5	beautifulfish291	Ansmoke
27	5	bluetiger782	Huzzt
28	5	organicladybug261	Wendner
29	5	orangewolf664	Tarys
30	5	redduck634	Mitanic
31	6	goldenpanda965	Crareek
32	6	beautifulwolf115	Oracle
33	6	yellowpanda238	Nirty
34	6	redsnake762	Swift
35	6	organicbutterfly164	Grrdy
36	7	blackelephant577	Hillstomp
37	7	silverostrich674	Dull
38	7	redrabbit119	Ansmoke
39	7	organickoala908	Crareek
40	7	crazygorilla440	Morbid
41	8	yellowtiger845	Gomezoo
42	8	brownfrog314	Crareek
43	8	angrysnake569	Frost
44	8	smallwolf710	Bonelegs
45	8	purpleelephant535	Perabiel
46	9	tinymeercat543	Perabiel
47	9	heavykoala295	Marzuzu
48	9	bigfrog380	Crareek
49	9	redbutterfly352	Dratic
50	9	silverdog793	Nirty
51	10	bluegoose473	Mulberry
52	10	greencat542	Nirty
53	10	organicbear157	Gomezoo
54	10	redladybug144	Crareek
55	10	heavylion809	Harms
56	11	tinybear408	Pierceslight
57	11	sadlion151	Tustink
58	11	happysnake390	Swift
59	11	orangewolf991	Crareek
60	11	purplecat695	Harms
61	12	tinyostrich164	Frost
62	12	lazymeercat654	Uriel
63	12	ticklishgorilla263	Moptop
64	12	blueelephant525	Crareek
65	12	smallpeacock826	Dexir
66	13	greenelephant772	Harms
67	13	bigleopard255	Nirty
68	13	blackkoala578	Stinkharper
69	13	crazyswan574	Crane
70	13	crazygoose890	Crareek
71	14	blacktiger707	Silver
72	14	bluepeacock792	Metal
73	14	purplezebra714	Pontihill
74	14	ticklishkoala575	Crareek
75	14	yellowswan985	Cinder
76	15	bigfish328	Crareek
77	15	sadgorilla411	Hudigo
78	15	bluesnake127	James
79	15	redbear427	Turir
80	15	bluemeercat376	Dull
81	16	sadmouse789	Crareek
82	16	bigleopard505	Drogfisher
83	16	silvergoose523	Huzzt
84	16	lazyswan103	Silverra
85	16	redsnake414	Raindon
86	17	happyzebra356	Crareek
87	17	greenpanda944	Tyrant
88	17	smallsnake665	Zoq
89	17	greenlion741	Grrdy
90	17	crazyswan604	Massive
91	18	ticklishrabbit119	Massive
92	18	tinybear161	Hillstomp
93	18	smalldog469	Crareek
94	18	brownrabbit687	Lolliray
95	18	silverleopard909	Silver
96	19	silverduck124	Hudigo
97	19	whitedog720	Leexie
98	19	bluepeacock738	Hillstomp
99	19	purpleleopard787	Thunder
100	19	beautifulcat980	Crareek
101	20	organickoala251	Crareek
102	20	purplewolf697	Mulberry
103	20	yellowpanda922	Star
